NOP,0
XRI,1
BZ,10
JMR,11
ADD,100
AND,101
IN,110
LD,111
SUB,1000
NOT,1001
JML,1010
AIU,1011
ORI,1100
ST,1101
OUT,1110
SLT,1111
MOV,10000
ADI,10001
BNZ,10010
LSL,10011
JMP,10100
